at_time(sec), nonNLP_percentage, insect_percentage, poison_percentage, insecticide_percentage
0, 0.245283, 0.754717, 0, 0
0.104332, 0.174, 0.826, 0, 0
0.208774, 0.174, 0.826, 0, 0
0.323275, 0.272, 0.728, 0, 0
0.432733, 0.386, 0.614, 0, 0
0.541587, 0.408, 0.592, 0, 0
0.650585, 0.408, 0.592, 0, 0
0.759996, 0.418, 0.582, 0, 0
0.867372, 0.426, 0.574, 0, 0
0.975346, 0.448, 0.552, 0, 0
1.08789, 0.578, 0.422, 0, 0
1.20023, 0.652, 0.348, 0, 0
1.31915, 0.652, 0.348, 0, 0
1.43338, 0.652, 0.348, 0, 0
1.55066, 0.636, 0.364, 0, 0
1.66708, 0.63, 0.37, 0, 0
1.78557, 0.632, 0.368, 0, 0
1.90285, 0.584, 0.416, 0, 0
2.01871, 0.572, 0.428, 0, 0
2.13299, 0.572, 0.428, 0, 0
2.2568, 0.51, 0.49, 0, 0
2.37391, 0.51, 0.49, 0, 0
2.49273, 0.494, 0.506, 0, 0
2.60969, 0.494, 0.506, 0, 0
2.72576, 0.494, 0.506, 0, 0
2.85138, 0.494, 0.506, 0, 0
2.98509, 0.48, 0.52, 0, 0
3.10317, 0.48, 0.52, 0, 0
3.21806, 0.464, 0.536, 0, 0
3.33804, 0.46, 0.54, 0, 0
3.38722, 0.456, 0.544, 0, 0
3.51193, 0.456, 0.544, 0, 0
3.63896, 0.462, 0.538, 0, 0
3.77135, 0.496, 0.504, 0, 0
3.89395, 0.468, 0.532, 0, 0.01
4.01659, 0.47, 0.53, 0, 0.018
4.14197, 0.47, 0.53, 0, 0.006
4.26763, 0.468, 0.532, 0, 0
4.38896, 0.472, 0.528, 0, 0
4.51202, 0.464, 0.536, 0, 0
4.63845, 0.462, 0.538, 0, 0
4.7664, 0.46, 0.54, 0, 0
4.89143, 0.454, 0.546, 0, 0
5.01821, 0.45, 0.55, 0, 0
5.14124, 0.452, 0.548, 0, 0
5.26569, 0.428, 0.572, 0, 0
5.38895, 0.428, 0.572, 0, 0
5.51757, 0.428, 0.572, 0, 0
5.66319, 0.428, 0.572, 0, 0
5.78917, 0.428, 0.572, 0, 0
5.91707, 0.428, 0.572, 0, 0
6.04106, 0.428, 0.572, 0, 0
6.17268, 0.428, 0.572, 0, 0
6.31048, 0.436, 0.564, 0, 0
6.43295, 0.436, 0.564, 0, 0
6.55727, 0.438, 0.562, 0, 0
6.68954, 0.438, 0.562, 0, 0
6.81529, 0.438, 0.562, 0, 0
6.94146, 0.438, 0.562, 0, 0
7.08129, 0.438, 0.562, 0, 0
7.20905, 0.438, 0.562, 0, 0
7.33981, 0.438, 0.562, 0, 0
7.46583, 0.438, 0.562, 0, 0
7.61497, 0.438, 0.562, 0, 0
7.75281, 0.438, 0.562, 0, 0
7.91314, 0.432, 0.568, 0, 0
8.04946, 0.418, 0.582, 0, 0
8.18265, 0.418, 0.582, 0, 0
8.30855, 0.418, 0.582, 0, 0
8.43798, 0.418, 0.582, 0, 0
8.57601, 0.418, 0.582, 0, 0
8.71112, 0.412, 0.588, 0, 0
8.85701, 0.406, 0.594, 0, 0
8.99143, 0.392, 0.608, 0, 0
9.14575, 0.386, 0.614, 0, 0
9.28132, 0.376, 0.624, 0, 0
9.41524, 0.37, 0.63, 0, 0
9.58195, 0.372, 0.628, 0, 0
9.7082, 0.372, 0.628, 0, 0
9.84853, 0.372, 0.628, 0, 0
10.0336, 0.372, 0.628, 0, 0
10.1623, 0.372, 0.628, 0, 0
10.2703, 0.372, 0.628, 0, 0
10.4193, 0.372, 0.628, 0, 0
10.5592, 0.372, 0.628, 0, 0
10.7347, 0.372, 0.628, 0, 0
10.9219, 0.372, 0.628, 0, 0
11.0665, 0.372, 0.628, 0, 0
11.2061, 0.372, 0.628, 0, 0
11.3493, 0.372, 0.628, 0, 0
11.5035, 0.372, 0.628, 0, 0
11.6508, 0.372, 0.628, 0, 0
11.8236, 0.372, 0.628, 0, 0
11.9694, 0.372, 0.628, 0, 0
12.1105, 0.372, 0.628, 0, 0
12.2821, 0.372, 0.628, 0, 0
12.4266, 0.372, 0.628, 0, 0
12.5739, 0.372, 0.628, 0, 0
12.7234, 0.376, 0.624, 0, 0
12.9043, 0.386, 0.614, 0, 0.002
13.1116, 0.378, 0.622, 0, 0
13.2519, 0.376, 0.624, 0, 0
13.4355, 0.372, 0.628, 0, 0
13.584, 0.378, 0.622, 0, 0
13.7355, 0.372, 0.628, 0, 0.008
13.8958, 0.37, 0.63, 0, 0
14.0261, 0.374, 0.626, 0, 0
14.238, 0.364, 0.636, 0, 0.014
14.3993, 0.358, 0.642, 0, 0.016
14.5674, 0.38, 0.62, 0, 0.028
