TOTAL_STIMULUS_REC: 709
NLP_parse_percentage_in_AF: 1.4013e-45
Logged_at: 17:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 0
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
47153927320151812, nigh%4:02:01::, 14:17:59:240, 14:18:24:562, 3.45201, 25.322, 1,  - , 44.4077
129572895285309251, can, 14:18:00:628, 14:18:56:877, 5.65404, 56.2487, 1, 2700, 4.85872
224914245004177916, ., 14:17:59:026, 14:18:56:877, 8.17872, 57.8511, 0, 44100, 90.3155
238713097465677210, in, 14:17:59:590, 14:18:56:877, 4.8777, 57.2872, 1, 14700, 31.8603
247278477959661152, woodlouse, 14:17:59:130, 14:18:54:850, 3.06877, 55.7198, 1, 600, 14.2036
273156185407028256, no%4:02:01::, 14:18:07:344, 14:18:56:877, 5.09696, 49.5329, 1,  - , 11.4594
279039907390475960, aldrin, 14:18:12:688, 14:18:50:963, 4.73959, 38.2757, 1,  - , 3.75716
308540808360415488, than.e@4e0a6763-22f1-4f0d-b799-4c2ed134cdec, 14:18:12:030, 14:18:24:356, 2.84923, 12.3262, 0,  - , 6.06814
383366309441692753, inward%4:02:01::, 14:18:10:515, 14:18:23:527, 3.17846, 13.0117, 1,  - , 9.61898
384797615427064134, ), 14:18:00:628, 14:18:12:030, 1.37835, 11.4019, 0, 900, 1.01398
399956073196341989, Ss@d5d4ba37-b6b9-40f8-8b3a-86c3f2505b0d, 14:18:12:175, 14:18:56:877, 5.50402, 44.7017, 0,  - , 5.10991
443514927522192133, unlike, 14:17:59:590, 14:18:56:877, 5.48634, 57.2872, 1, 300, 10.6936
454213604292819815, do%2:36:02::, 14:17:59:355, 14:18:00:744, 1.72679, 1.38922, 1,  - , 6.35612
467817625647480350, LEFT-WALL@sentence@daed8c5f-7c23-4451-89d8-f7473aba2249_parse_0, 14:18:05:101, 14:18:39:995, 3.05873, 34.8942, 0,  - , 15.6042
533049664271630316, similar, 14:18:00:628, 14:18:10:866, 2.2218, 10.2376, 1, 900, 0.677478
549817980321782562, comprise, 14:18:00:981, 14:18:02:804, 0.60518, 1.823, 1, 300, 0.00360255
560437915148262375, most%4:02:00::, 14:17:59:240, 14:18:56:877, 5.91713, 57.637, 1,  - , 25.4081
597341437928623157, aldicarb, 14:18:44:140, 14:18:51:220, 4.75447, 7.08018, 1,  - , 3.75716
643335844547241829, act%2:29:00::, 14:17:59:355, 14:18:00:744, 1.70247, 1.38922, 1,  - , 5.35354
653986977238977258, instead.e@77f7cc3a-4b9a-46fa-b95c-e318bb2a3d53, 14:18:10:866, 14:18:56:877, 7.51813, 46.011, 0,  - , 9.65329
672209744764972597, nevertheless%4:02:00::, 14:17:59:240, 14:18:12:688, 3.11161, 13.4479, 1,  - , 37.012
675472484026836756, 10.000000, 14:18:11:168, 14:18:56:877, 9.12976, 45.7086, 1,  - , 5.67091
690693652329620029, species, 14:17:59:821, 14:18:56:877, 7.62567, 57.0558, 1, 6300, 10.3596
694973009789952269, extend.v@7f91a28f-d28d-41a6-9474-ddee6ee10ae5, 14:18:07:344, 14:18:54:850, 2.05732, 47.5058, 0,  - , 12.01
700125044680904133, their.p@cf8b4c7a-b320-4b37-aa75-9402aa713e6f, 14:18:56:571, 14:18:56:877, 6.35475, 0.306123, 1,  - , 5.93303
714039771563777612, pressure.n@0d3342ae-d1d1-4c8f-a9bd-b6f2842d937f, 14:18:12:323, 14:18:56:877, 6.11437, 44.5539, 0,  - , 5.25856
758278191060126781, extensor_muscle%1:08:00::, 14:18:05:657, 14:18:56:877, 11.0293, 51.22, 1,  - , 22.7162
773973602934188048, this.p@e6ce4277-406d-4791-82f3-8ee652dc1e32, 14:17:59:130, 14:18:56:877, 18.4607, 57.7469, 0,  - , 45.9873
815346081023406567, pressure_sensation%1:09:00::, 14:18:46:220, 14:18:46:220, 4.10636, 0, 1,  - , 4.38322
821879334871727856, noun, 14:18:01:958, 14:18:56:877, 7.46752, 54.9194, 0,  - , 11.2728
830325094413136593, spiders.n@81cdbba2-81b2-41a9-b303-d8efe573c9b2, 14:18:12:030, 14:18:56:877, 6.53618, 44.8468, 0,  - , 6.17923
861803473601816772, species.p@2cb491f3-5236-481a-8ce0-dcbaa0ba42fe, 14:18:11:168, 14:18:56:877, 7.66312, 45.7086, 0,  - , 9.51882
