TOTAL_STIMULUS_REC: 427
NLP_parse_percentage_in_AF: 0
Logged_at: 17:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 14:44:12:416, 14:44:16:246, 2.45777, 3.82928, 1, 150, 1.83483
37938422184928532, most@a2caee24-9314-4f8d-b948-6ae7ba5b255f, 14:44:09:599, 14:44:22:283, 2.89894, 12.684, 0,  - , 10.7124
47153927320151812, nigh%4:02:01::, 14:44:09:599, 14:44:38:344, 3.98708, 28.7447, 1,  - , 10.9423
121900117416907790, ,@767e638b-f6f4-40e0-b279-d3561ab45801, 14:44:09:487, 14:44:43:810, 5.88023, 34.3233, 0,  - , 15.7488
129180190883819739, other, 14:44:13:262, 14:44:17:508, 1.38601, 4.24532, 1, 200, 1.50123
129572895285309251, can, 14:44:11:059, 14:44:43:810, 7.4669, 32.7516, 1, 300, 54.0324
152694989645041204, stores.n@7c2d7195-28b1-4cbd-8b3a-bfcbb35aa59e, 14:44:38:344, 14:44:43:810, 10.337, 5.46657, 0,  - , 10.691
185403042154520065, hydraulic.a@f7cacf5a-0b39-4d95-8140-cfa1e118f648, 14:44:17:508, 14:44:43:810, 10.916, 26.3024, 0,  - , 6.15747
224914245004177916, ., 14:44:09:487, 14:44:43:810, 22.7539, 34.3232, 0, 4850, 102.858
238713097465677210, in, 14:44:10:026, 14:44:35:905, 2.82247, 25.8791, 1, 1200, 13.3365
247278477959661152, woodlouse, 14:44:09:599, 14:44:32:865, 3.85209, 23.2664, 1, 100, 4.98592
255020866638450161, belong, 14:44:16:246, 14:44:43:810, 7.08277, 27.5645, 1, 50, 0.00207372
264445346224138826, family, 14:44:16:358, 14:44:43:810, 11.1863, 27.452, 1, 200, 0.00207372
273156185407028256, no%4:02:01::, 14:44:18:157, 14:44:43:810, 5.5572, 25.6536, 1,  - , 6.58338
384797615427064134, ), 14:44:11:059, 14:44:43:810, 22.2699, 32.7516, 0, 150, 0.669848
421859122580166243, gather, 14:44:11:706, 14:44:16:246, 1.77386, 4.53965, 1, 50, 0.168426
443514927522192133, unlike, 14:44:10:026, 14:44:38:344, 1.58771, 28.3178, 1, 50, 4.17079
454213604292819815, do%2:36:02::, 14:44:09:599, 14:44:10:479, 0.51811, 0.880316, 1,  - , 3.79582
483292478277474403, insects.n@9961dcf9-7d75-45be-bd69-a78c2964c0d5, 14:44:36:951, 14:44:43:810, 12.137, 6.85928, 0,  - , 0.500746
