TOTAL_STIMULUS_REC: 709
NLP_parse_percentage_in_AF: 0
Logged_at: 17:00:00:000
Prev_topic_percentage_in_af: 0
Current_topic_percentage_in_af: 0
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
4654110401115762, pollen, 14:44:12:416, 14:45:12:002, 14.4958, 59.5854, 1, 150, 1.83592
37938422184928532, most@a2caee24-9314-4f8d-b948-6ae7ba5b255f, 14:44:09:599, 14:45:12:002, 5.66748, 62.403, 0,  - , 12.6324
47153927320151812, nigh%4:02:01::, 14:44:09:599, 14:45:06:022, 0.147672, 56.423, 1,  - , 11.4463
121900117416907790, ,@767e638b-f6f4-40e0-b279-d3561ab45801, 14:44:09:487, 14:45:12:002, 4.65874, 62.515, 0,  - , 20.6493
129180190883819739, other, 14:44:13:262, 14:45:12:002, 5.04218, 58.7394, 1, 300, 1.50179
129572895285309251, can, 14:44:11:059, 14:45:08:359, 2.96118, 57.3007, 1, 450, 65.7027
142649656174068354, the@12802c8f-ef6d-4161-8f91-ddf44ef13468, 14:44:45:665, 14:45:12:002, 7.49178, 26.3364, 1,  - , 5.08664
152694989645041204, stores.n@7c2d7195-28b1-4cbd-8b3a-bfcbb35aa59e, 14:44:38:344, 14:45:12:002, 10.337, 33.6583, 0,  - , 11.0249
185403042154520065, hydraulic.a@f7cacf5a-0b39-4d95-8140-cfa1e118f648, 14:44:17:508, 14:44:49:738, 0.509847, 32.2304, 0,  - , 6.82686
193858419241926076, the@34b69799-e1b0-417c-924b-88f2cbfdcd05, 14:44:45:871, 14:45:12:002, 7.49178, 26.1306, 1,  - , 4.7533
224914245004177916, ., 14:44:09:487, 14:45:12:002, 10.4835, 62.5149, 0, 7350, 125.127
238713097465677210, in, 14:44:10:026, 14:45:12:002, 28.9924, 61.9761, 1, 2450, 16.7567
247278477959661152, woodlouse, 14:44:09:599, 14:45:07:311, 0.678019, 57.7125, 1, 100, 5.73996
255020866638450161, belong, 14:44:16:246, 14:44:59:688, 0.354151, 43.4425, 1, 50, 0.00507534
264445346224138826, family, 14:44:16:358, 14:44:49:738, 0.667873, 33.3799, 1, 200, 0.00484029
273156185407028256, no%4:02:01::, 14:44:18:157, 14:45:03:803, 0.277866, 45.646, 1,  - , 7.08613
288674501725232361, a@a0e500e1-845b-4f7b-a197-2d8ae694add2, 14:44:45:665, 14:45:12:002, 7.93033, 26.3364, 1,  - , 5.97338
383366309441692753, inward%4:02:01::, 14:45:07:557, 14:45:12:002, 4.46417, 4.44451, 1,  - , 3.53773
384797615427064134, ), 14:44:11:059, 14:45:12:002, 17.6417, 60.9433, 0, 150, 0.673262
421859122580166243, gather, 14:44:11:706, 14:45:06:760, 2.88706, 55.0544, 1, 50, 0.169089
441997376693041898, related.v-d@bff1851f-c842-4da1-aacf-4297feea749c, 14:44:57:758, 14:45:12:002, 8.6848, 14.2436, 1,  - , 1.5
443514927522192133, unlike, 14:44:10:026, 14:44:38:344, 1.57654, 28.3178, 1, 50, 6.84083
454213604292819815, do%2:36:02::, 14:44:09:599, 14:44:10:479, 0.518197, 0.880316, 1,  - , 3.79641
483292478277474403, insects.n@9961dcf9-7d75-45be-bd69-a78c2964c0d5, 14:44:36:951, 14:45:12:002, 12.137, 35.051, 0,  - , 0.501454
486914246794951718, feeding, 14:44:12:416, 14:45:12:002, 15.4174, 59.5854, 1, 100, 3.00206
498074027535932588, temperate.a@ad46d2e6-404d-4132-b9f4-29f79466fcfa, 14:44:17:664, 14:44:53:648, 0.434797, 35.9841, 0,  - , 6.71446
501684224609182988, limbs.n@9fb1907d-0834-442e-946a-c5a2a11ac08e, 14:44:15:456, 14:45:12:002, 3.52422, 56.5463, 0,  - , 29.3683
533049664271630316, similar, 14:44:11:059, 14:45:12:002, 23.9059, 60.9433, 1, 150, 3.9193
